job_title,company_name,salary_from,salary_to,currencyCode,area,link,source
"Преподаватель программирования (Губернский, Краснодар)",Инжинириум МГТУ им. Н.Э. Баумана (ООО Инжинириум),50000.0,80000.0,RUR,Краснодар,https://hh.ru/vacancy/128535275,hh.ru
Аналитик данных Middle/Middle+ (power bi),Бидзаар,160000.0,,RUR,Москва,https://hh.ru/vacancy/126645731,hh.ru
Преподаватель робототехники детям,Хочу Всё Знать,107142.0,,RUR,Одинцово (Московская область),https://hh.ru/vacancy/126446586,hh.ru
Senior Full-Stack Python Developer,"Эй, Бро!",350000.0,550000.0,RUR,Санкт-Петербург,https://hh.ru/vacancy/128470914,hh.ru
Оператор call-центра (входящая линия),Ростелеком,,68000.0,RUR,Красноярск,https://hh.ru/vacancy/123387581,hh.ru
Аналитик данных/Статистик,Адвирос,280000.0,,RUR,Москва,https://hh.ru/vacancy/127664512,hh.ru
Руководитель направления группы потребительских исследований,Адвирос,300000.0,,RUR,Москва,https://hh.ru/vacancy/127696938,hh.ru
Python-разработчик,Вычислительные решения,,230000.0,RUR,Москва,https://hh.ru/vacancy/128122937,hh.ru
Программист Python (Junior),Раздоров и Компания,70000.0,,RUR,Ростов-на-Дону,https://hh.ru/vacancy/127593136,hh.ru
Backend-разработчик Python,Радист Онлайн,120000.0,,RUR,Казань,https://hh.ru/vacancy/127941599,hh.ru
Python Backend разработчик,ЭкспрессДеньги,150000.0,,RUR,Йошкар-Ола,https://hh.ru/vacancy/128361348,hh.ru
Python разработчик (Software Engineer),Консалт Плюс,,400000.0,RUR,Москва,https://hh.ru/vacancy/123054425,hh.ru
Python-разработчик,Фабрика Решений,,240000.0,RUR,Москва,https://hh.ru/vacancy/127729458,hh.ru
Python-разработчик,Савчук Егор Сергеевич,180000.0,220000.0,RUR,Москва,https://hh.ru/vacancy/127724917,hh.ru
Senior Python Developer (AI & Data Science),МФК Саммит,150000.0,,RUR,Краснодар,https://hh.ru/vacancy/124686769,hh.ru
